Channel Name,Channel Type,Rx Frequency,Tx Frequency,Color Code,Timeslot,Contact,Rx Group,Scanlist,RX CTCSS,TX CTCSS,Squelch,Power,Bandwidth,Rx Only,Auto Scan,Tx Admit,TOT,TOT Rekey,Tx Signaling,Rx Signaling,Privacy Group,Emergency System,Unknown3,Unknown5,Unknown13,Unknown14,Uknown15,Unknown30,Unknown31
DVm 31665,Digital,431.00000,431.00000, 1,2,bm31665,VK BM Mon,None,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 96, 195,0, 64, 255, 255, 255
DVm+ 3802,Digital,431.00000,431.00000, 1,2,ref4802 tg3802,HS Monitor,None,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195, 1,0, 255, 255, 255
DVm+ 3805,Digital,431.00000,431.00000, 1,2,ref4805 tg3805,HS Monitor,None,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195, 1,0, 255, 255, 255
Z1 bm 9s2,Digital,439.17500,439.17500, 1,2,TG9 Local,TG9,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 505,Digital,439.17500,439.17500, 1,2,TG:505 VK,TG505,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 5051,Digital,439.17500,439.17500, 1,2,bm5051 ACT,bm5051,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 5052,Digital,439.17500,439.17500, 1,2,bm5052 NSW,bm5052,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 5053,Digital,439.17500,439.17500, 1,2,bm5053 VIC,bm5053,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 5054,Digital,439.17500,439.17500, 1,2,bm5054 QLD,bm5054,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 5055,Digital,439.17500,439.17500, 1,2,bm5055 SA,bm5055,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 5056,Digital,439.17500,439.17500, 1,2,bm5056 WA,TG3806,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 5057,Digital,439.17500,439.17500, 1,2,bm5057 Tas,bm5057,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm YSF 50599,Digital,439.17500,439.17500, 1,2,bm50599 YSF-NXDS,bm50599,None,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195, 1,0, 255, 255, 255
Z1 bm WICEN,Digital,439.17500,439.17500, 1,2,bm50566 WICEN,bm50566 WICEN,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 91 WW,Digital,439.17500,439.17500, 1,2,bm91 WW,bm91,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 913 WWE,Digital,439.17500,439.17500, 1,2,bm913 WWE,bm913,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 923 EU E,Digital,439.17500,439.17500, 1,2,bm923 EU E,bm923,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1 bm 95 PacRim,Digital,439.17500,439.17500, 1,2,bm95 AU/NZ,bm95,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
Z1+ TG8,Digital,439.17500,439.17500, 1,2,TG8 StateLnkd,TG8,None,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195, 1,0, 255, 255, 255
Z1 bm 26204,Digital,439.17500,439.17500, 1,2,bm26204,bm26204,None,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195, 1,0, 255, 255, 255
Z1  TG6,Digital,439.17500,439.17500, 1,2,TG6 DStar Refl,TG6,None,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195, 1,0, 255, 255, 255
'1RMB TG1 WW,Digital,438.81250,431.81250, 1,1,TG1 WW,TG1,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'1RMB TG5,Digital,438.81250,431.81250, 1,1,TG5 VK Nets,TG5,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'1RMB TG8 S1 ACT,Digital,438.81250,431.81250, 1,1,TG8 StateLnkd,TG8,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'1RMB TG9 S1 LOC,Digital,438.81250,431.81250, 1,1,TG9 Local,TG9,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'1RMB TG13 WWE,Digital,438.81250,431.81250, 1,1,TG13 WWE,TG13,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'1RMB TG113 UA,Digital,438.81250,431.81250, 1,1,TG113 UA Eng 1,TG113,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 225, 195,0, 64, 255, 255, 255
'1RMB TG123 UA,Digital,438.81250,431.81250, 1,1,TG123 UA Eng 2,TG123,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'1RMB TG153 SthPc,Digital,438.81250,431.81250, 1,1,TG153 DMR+Sth P,TG153,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'1RMB TG505 AU,Digital,438.81250,431.81250, 1,2,TG:505 VK,TG505,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'1RMB TG3801 ACT,Digital,438.81250,431.81250, 1,2,TG3801 ACT,TG3801,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'1RMB TG3802 NSW,Digital,438.81250,431.81250, 1,2,TG3802 NSW,TG3802,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'1RMB TG3803 Vic,Digital,438.81250,431.81250, 1,2,TG3803 Vic,TG3803,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'1RMB TG3804 Qld,Digital,438.81250,431.81250, 1,2,TG3804 Qld,TG3804,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'1RMB TG3805 SA,Digital,438.81250,431.81250, 1,2,TG3805 SA,TG3805,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'1RMB TG3806 WA,Digital,438.81250,431.81250, 1,2,TG3806 WA,TG3806,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'1RMB TG3807 Tas,Digital,438.81250,431.81250, 1,2,TG3807 TAS,TG3807,VK1RBM,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'2RAG DMR+ TG8,Digital,438.32500,431.32500, 1,2,TG9 Local,VK BM Mon,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm505001 Lc,Digital,438.32500,431.32500, 1,2,bm505001 Local,TG8,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm505 AU,Digital,438.32500,431.32500, 1,2,TG:505 VK,TG505,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm5051 ACT,Digital,438.32500,431.32500, 1,2,bm5051 ACT,bm5051,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm5052 NSW,Digital,438.32500,431.32500, 1,2,bm5052 NSW,VK BM Mon,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm5053 Vic,Digital,438.32500,431.32500, 1,2,TG:505 VK,TG505,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm5054 Qld,Digital,438.32500,431.32500, 1,2,bm5054 QLD,bm5054,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm5055 SA,Digital,438.32500,431.32500, 1,2,bm5055 SA,bm5055,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm5056 WA,Digital,438.32500,431.32500, 1,2,bm50599 YSF-NXDS,bm50599,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm5057 Tas,Digital,438.32500,431.32500, 1,2,TG9 Local,VK BM Mon,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm50599,Digital,438.32500,431.32500, 1,2,bm50599 YSF-NXDS,VK BM Mon,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAG bm95 PacRim,Digital,438.32500,431.32500, 1,2,bm95 AU/NZ,bm95,'2RAB bm CrtlCst,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG1 WW Call,Digital,438.72500,433.72500, 1,1,TG1 WW,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG5 VK Bcst,Digital,438.72500,433.72500, 1,1,TG5 VK Nets,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG8 S1 LINK,Digital,438.72500,433.72500, 1,1,TG8 StateLnkd,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG8 S2 LOCL,Digital,438.72500,433.72500, 1,2,TG8 StateLnkd,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG9 S1 LOC,Digital,438.72500,433.72500, 1,1,TG9 Local,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG13 WWE,Digital,438.72500,433.72500, 1,1,TG13 WWE,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG113 UA,Digital,438.72500,433.72500, 1,1,TG113 UA Eng 1,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG123 UA,Digital,438.72500,433.72500, 1,1,TG123 UA Eng 2,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG153 SthPc,Digital,438.72500,433.72500, 1,1,TG153 DMR+Sth P,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'2RAO TG505 AU,Digital,438.72500,433.72500, 1,2,TG:505 VK,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG3801 ACT,Digital,438.72500,433.72500, 1,2,TG3801 ACT,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG3802 NSW,Digital,438.72500,433.72500, 1,2,TG3802 NSW,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG3803 VIC,Digital,438.72500,433.72500, 1,2,TG3803 Vic,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG3804 QLD,Digital,438.72500,433.72500, 1,2,TG3804 Qld,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 225, 195,0, 64, 255, 255, 255
'2RAO TG3805 SA,Digital,438.72500,433.72500, 1,2,TG3805 SA,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'2RAO TG3806 WA,Digital,438.72500,433.72500, 1,2,TG3806 WA,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RAO TG3807 Tas,Digital,438.72500,433.72500, 1,2,TG3807 TAS,VK DMR Mon,VK2RAO,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'2RCG TG1 WW,Digital,439.50000,434.50000, 1,1,TG1 WW,TG1,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG5 VK Bcst,Digital,439.50000,434.50000, 1,1,TG5 VK Nets,TG5,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG8 S1 LINK,Digital,439.50000,434.50000, 1,1,TG8 StateLnkd,TG8,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG8 S2 LOC,Digital,439.50000,434.50000, 1,2,TG8 StateLnkd,TG8,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG9 S1 LOC,Digital,439.50000,434.50000, 1,1,TG9 Local,TG9,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG13 WWE,Digital,439.50000,434.50000, 1,1,TG13 WWE,TG13,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG113 UA,Digital,439.50000,434.50000, 1,1,TG113 UA Eng 1,TG113,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG123 UA,Digital,439.50000,434.50000, 1,1,TG123 UA Eng 2,TG123,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG143 UK,Digital,439.50000,434.50000, 1,1,TG143 DMR+UK,TG143,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG153 SthPc,Digital,439.50000,434.50000, 1,1,TG153 DMR+Sth P,TG153,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'2RCG TG505 AU,Digital,439.50000,434.50000, 1,2,TG:505 VK,TG505,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG3801 ACT,Digital,439.50000,434.50000, 1,2,TG3801 ACT,TG3801,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG3802 NSW,Digital,439.50000,434.50000, 1,2,TG3802 NSW,TG3802,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG3803 Vic,Digital,439.50000,434.50000, 1,2,TG3803 Vic,TG3803,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG3804 QLD,Digital,439.50000,434.50000, 1,2,TG3804 Qld,TG3804,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG3805 SA,Digital,439.50000,434.50000, 1,2,TG3805 SA,TG3805,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'2RCG TG3806 WA,Digital,439.50000,434.50000, 1,2,TG3806 WA,TG3806,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
'2RCG TG 3807 Tas,Digital,439.50000,434.50000, 1,2,TG3807 TAS,TG3807,VK2RCG,None,None,Normal,High,12.5KHz,No,No, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
'2RCV TG1 WW,Digital,439.91250,434.91250, 1,1,TG1 WW,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG5 VK Bcst,Digital,439.91250,434.91250, 1,1,TG5 VK Nets,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG8 S1 NSW,Digital,439.91250,434.91250, 1,1,TG8 StateLnkd,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG9 S1 Loc,Digital,439.91250,434.91250, 1,1,TG9 Local,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG13 WWE,Digital,439.91250,434.91250, 1,1,TG13 WWE,VK DMR Mon,VK2RCV,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG113 UA,Digital,439.91250,434.91250, 1,1,TG113 UA Eng 1,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG123 UA,Digital,439.91250,434.91250, 1,1,TG123 UA Eng 2,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG153 SthPc,Digital,439.91250,434.91250, 1,1,TG153 DMR+Sth P,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG505 AU,Digital,439.91250,434.91250, 1,2,TG:505 VK,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG3801 ACT,Digital,439.91250,434.91250, 1,2,TG3801 ACT,VK DMR Mon,VK2RCV,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG3802 NSW,Digital,439.91250,434.91250, 1,2,TG3802 NSW,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG3803 Vic,Digital,439.91250,434.91250, 1,2,TG3803 Vic,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG3804 Qld,Digital,439.91250,434.91250, 1,2,TG3804 Qld,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG3805 SA,Digital,439.91250,434.91250, 1,2,TG3805 SA,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG3806 WA,Digital,439.91250,434.91250, 1,2,TG3806 WA,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RCV TG3807 Tas,Digital,439.91250,434.91250, 1,2,TG3807 TAS,VK DMR Mon,VK2RCV,None,None,Normal,High,12.5KHz,No,No, 37, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
'2RGN TG1 WW,Digital,438.32500,433.32500, 1,1,TG1 WW,TG1,VK2RGN,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
