name,mode,rx freq,tx freq,bandwidth,auto scan,squelch mode,lone worker,talk around,rx only,repeater slot,colour code,private call confirmed,data call confirmed,privacy mode,privacy key,emergency alarm ack,compressed udp data header,display ptt id,reverse burst turn off code,qt reverse,vox,gps system,admit criteria,rx rel freq,tx rel freq,tx power,scan list,contact,rx group,emergency system,tx time out,tx time out rekey delay,decode 1,decode 2,decode 3,decode 4,decode 5,decode 6,decode 7,decode 8,tx dtmf,rx dtmf,rx ctcss cdcss,tx ctcss cdcss,tx gps info,rx gps info
17 TG133 USA+   ,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,   11,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG143 UK+    ,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,   12,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG153 SthPac+,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,   13,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG505 AU+    ,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,   15,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG3800 AU+   ,2,43840000,43140000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,   17,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG3801 ACT   ,2,43840000,43140000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,   18,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG3803 Vic   ,2,43840000,43140000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,   20,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG9 s2 Locl  ,2,43840000,43140000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,    0,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
21 2RGN Scan    ,2,43832500,43332500,0,1,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,    1,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
21 TG1 WW CALL  ,2,43832500,43332500,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,    2,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21TG5 VK Bcast  ,2,43832500,43332500,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,    3,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG8 S1 LINK  ,2,43832500,43332500,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,    4,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG9 S1 LOC   ,2,43832500,43332500,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,    5,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG9 S2 LOC   ,2,43832500,43332500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,    5,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG13 WWE     ,2,43832500,43332500,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,    6,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG113 UA CHA ,2,43832500,43332500,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,    9,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG123 UA ENG ,2,43832500,43332500,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,   10,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG153 SthPac+,2,43832500,43332500,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1,  5,   13,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
21 TG505 AU     ,2,43832500,43332500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,   15,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG3800 AU +  ,2,43832500,43332500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,   17,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG3801 ACT   ,2,43832500,43332500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,   18,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG3802 NSW   ,2,43832500,43332500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,   19,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG3803 VIC   ,2,43832500,43332500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,   20,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG3804 QLD   ,2,43832500,43332500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,   21,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
21 TG3805 SA    ,2,43832500,43332500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1,  5,   22,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
21 TG3807 Tas   ,2,43832500,43332500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1,  5,   24,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
21 TG9 REF      ,2,43832500,43332500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  5,    5,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 2RHR Scan    ,2,43990000,43490000,0,1,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,    1,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG1 WW CALL  ,2,43990000,43490000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,    2,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG5 VK Bcast ,2,43990000,43490000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,    3,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG8 S1 LINK  ,2,43990000,43490000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,    4,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG8 S2 LOC   ,2,43990000,43490000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,    4,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG9 S1 LOC   ,2,43990000,43490000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,    5,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG13 WWE     ,2,43990000,43490000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,    6,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG113 UA CHA ,2,43990000,43490000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,    9,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG123 UA ENG ,2,43990000,43490000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,   10,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG153 SthPac+,2,43990000,43490000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1,  6,   13,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
22 TG505 AU     ,2,43990000,43490000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,0,  6,   15,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG3800 AU +  ,2,43990000,43490000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,   17,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG3801 ACT   ,2,43990000,43490000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,   18,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG3802 NSW   ,2,43990000,43490000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,   19,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG3803 VIC   ,2,43990000,43490000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,   20,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
22 TG3804 QLD   ,2,43990000,43490000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  6,   21,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
